Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,84.400002,85.300003,82.650002,83.800003,83.800003,2830820
2020-05-15,85.000000,85.349998,82.900002,84.400002,84.400002,1864129
2020-05-18,84.699997,84.699997,79.599998,80.650002,80.650002,2070292
2020-05-19,83.000000,85.599998,81.550003,81.800003,81.800003,2737879
2020-05-20,81.800003,84.400002,80.800003,83.449997,83.449997,1649338
2020-05-21,83.199997,85.150002,83.000000,84.050003,84.050003,2046339
2020-05-22,83.449997,83.900002,82.000000,82.750000,82.750000,1374618
2020-05-26,83.849998,85.650002,82.650002,83.099998,83.099998,1625707
2020-05-27,84.250000,86.000000,84.000000,84.599998,84.599998,2244804
2020-05-28,85.650002,88.050003,84.550003,86.849998,86.849998,3387527
2020-05-29,85.800003,87.449997,84.650002,86.900002,86.900002,3186012
2020-06-01,89.000000,91.150002,88.050003,89.599998,89.599998,3930444
2020-06-02,89.400002,97.300003,89.400002,96.500000,96.500000,6287956
2020-06-03,100.000000,101.449997,97.500000,98.800003,98.800003,4711300
2020-06-04,99.300003,101.300003,96.750000,98.500000,98.500000,3361121
2020-06-05,100.900002,112.400002,99.599998,110.699997,110.699997,8649199
2020-06-08,114.800003,119.050003,113.050003,115.500000,115.500000,7798382
2020-06-09,117.500000,117.750000,110.349998,111.449997,111.449997,4317176
2020-06-10,110.900002,113.000000,108.449997,111.500000,111.500000,4370354
2020-06-11,111.000000,111.099998,105.000000,106.050003,106.050003,3840042
2020-06-12,99.099998,106.199997,98.199997,105.250000,105.250000,5932333
2020-06-15,104.849998,104.849998,100.050003,100.449997,100.449997,4006860
2020-06-16,101.250000,103.500000,92.000000,94.750000,94.750000,10845171
2020-06-17,92.800003,96.400002,92.000000,95.449997,95.449997,8478385
2020-06-18,94.800003,97.199997,94.050003,96.400002,96.400002,7932391
2020-06-19,96.400002,103.800003,95.599998,102.449997,102.449997,11479377
2020-06-22,103.800003,104.900002,101.000000,102.650002,102.650002,3421333
2020-06-23,102.800003,106.000000,101.849998,104.349998,104.349998,4984804
2020-06-24,104.949997,110.800003,104.199997,104.750000,104.750000,5491674
2020-06-25,104.000000,106.199997,101.599998,103.849998,103.849998,3238756
2020-06-26,105.650002,106.000000,100.449997,101.550003,101.550003,4535729
2020-06-29,101.000000,101.300003,98.050003,99.500000,99.500000,3522342
2020-06-30,101.500000,102.150002,97.349998,98.250000,98.250000,3423499
2020-07-01,98.750000,101.400002,98.199997,100.699997,100.699997,3065502
2020-07-02,101.000000,102.949997,100.449997,101.550003,101.550003,1870677
2020-07-03,102.699997,106.349998,102.099998,103.449997,103.449997,3868211
2020-07-06,104.199997,109.800003,104.199997,109.000000,109.000000,4458844
2020-07-07,110.000000,112.599998,108.050003,109.050003,109.050003,4132270
2020-07-08,109.800003,110.900002,104.400002,105.449997,105.449997,2788387
2020-07-09,106.500000,108.900002,104.599998,107.000000,107.000000,4152629
2020-07-10,106.849998,108.599998,105.500000,107.550003,107.550003,4122223
2020-07-13,109.000000,112.099998,106.849998,107.949997,107.949997,3355503
2020-07-14,106.449997,107.550003,104.099998,105.150002,105.150002,2206560
2020-07-15,106.650002,106.849998,102.500000,103.199997,103.199997,2461474
2020-07-16,104.000000,104.000000,100.650002,103.000000,103.000000,2300058
2020-07-17,103.500000,106.849998,103.300003,106.400002,106.400002,3180286
2020-07-20,106.449997,106.449997,103.800003,105.000000,105.000000,2543174
2020-07-21,106.000000,109.699997,105.550003,108.500000,108.500000,3236032
2020-07-22,108.599998,109.750000,104.349998,105.150002,105.150002,3915097
2020-07-23,105.099998,106.449997,104.650002,106.050003,106.050003,3201397
2020-07-24,104.900002,105.500000,102.800003,103.750000,103.750000,3587146
2020-07-27,104.150002,104.599998,101.349998,101.699997,101.699997,2034349
2020-07-28,102.500000,107.199997,102.199997,106.500000,106.500000,2764547
2020-07-29,107.099998,108.650002,104.849998,105.800003,105.800003,3050391
2020-07-30,106.150002,106.750000,103.000000,103.699997,103.699997,2137259
2020-07-31,103.900002,105.400002,102.349998,104.699997,104.699997,2420006
2020-08-03,103.400002,114.400002,103.000000,113.050003,113.050003,15667312
2020-08-04,113.050003,115.099998,110.800003,111.400002,111.400002,5067642
2020-08-05,112.000000,117.650002,111.949997,115.500000,115.500000,4145395
2020-08-06,115.599998,117.699997,115.500000,116.800003,116.800003,3698124
2020-08-07,117.000000,119.699997,116.250000,119.099998,119.099998,2591596
2020-08-10,119.949997,124.650002,119.550003,123.800003,123.800003,5372280
2020-08-11,124.750000,125.750000,121.449997,122.300003,122.300003,2149180
2020-08-12,121.349998,126.349998,120.650002,125.300003,125.300003,2389349
2020-08-13,126.550003,131.800003,124.349998,131.100006,131.100006,5537095
2020-08-14,131.850006,132.600006,123.750000,124.550003,124.550003,4055261
2020-08-17,124.750000,126.300003,120.699997,123.500000,123.500000,3380248
2020-08-18,124.000000,127.500000,123.599998,125.599998,125.599998,3056734
2020-08-19,127.300003,127.599998,124.750000,125.150002,125.150002,4228289
2020-08-20,123.699997,125.650002,121.250000,121.699997,121.699997,2741368
2020-08-21,123.949997,124.300003,120.199997,120.949997,120.949997,2204272
2020-08-24,121.500000,122.949997,120.800003,121.199997,121.199997,2362543
2020-08-25,121.550003,128.300003,121.400002,127.050003,127.050003,4641160
2020-08-26,129.800003,139.000000,128.399994,137.850006,137.850006,9507010
2020-08-27,139.850006,146.800003,139.350006,144.350006,144.350006,8473638
